store_id	正式店名	店名かな	別名・旧名	施設区分	大ジャンル	小ジャンル	都道府県	市区町村	住所	緯度	経度	最寄駅・交通	電話番号	公式URL	食べログURL	GoogleマップURL	営業状態	予約区分	昼予算	夜予算	最終確認日	確認状態	備考
FOD-1169	インドカレーカーマ			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 神保町駅			https://tabelog.com/tokyo/A1310/A131003/13000243/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13000243 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1170	アヒリヤ 代々木店			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 代々木駅			https://tabelog.com/tokyo/A1304/A130403/13009222/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13009222 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1171	ゼロワンカレーA.o.D			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 三田駅			https://tabelog.com/tokyo/A1314/A131402/13239329/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13239329 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1172	ガンジー			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 新宿三丁目駅			https://tabelog.com/tokyo/A1304/A130401/13000880/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13000880 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1173	ガヴィアル			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 神保町駅			https://tabelog.com/tokyo/A1310/A131003/13000358/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13000358 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1174	サイーファ ケバブ アンド ビリヤニ			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 六本木駅			https://tabelog.com/tokyo/A1307/A130701/13144423/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13144423 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1175	南インド料理ダクシン 東日本橋店			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 馬喰町駅			https://tabelog.com/tokyo/A1302/A130204/13060858/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13060858 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1176	すぱいす			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 荻窪駅			https://tabelog.com/tokyo/A1319/A131906/13004379/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13004379 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1177	プティフ・ア・ラ・カンパーニュ			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 半蔵門駅			https://tabelog.com/tokyo/A1308/A130803/13000254/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13000254 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1178	やっぱりインディア			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 大塚駅			https://tabelog.com/tokyo/A1323/A132302/13207605/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13207605 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
