listing_id	category_slug	genre	region	category_ordinal	listed_name	prefecture	area_text	tabelog_url	tabelog_id	source_url	category_official_count
HYK2020-0103	bread_east	パン	EAST	3	Boulangerie Queue	千葉県	千葉県 船橋日大前駅	https://tabelog.com/chiba/A1202/A120201/12021059/	12021059	https://award.tabelog.com/hyakumeiten/bread_east/2020	100
HYK2020-0104	bread_east	パン	EAST	4	トラン・ブルー	岐阜県	岐阜県 高山市	https://tabelog.com/gifu/A2104/A210401/21000586/	21000586	https://award.tabelog.com/hyakumeiten/bread_east/2020	100
HYK2020-0105	bread_east	パン	EAST	5	芦名ベーカリー 芦兵衛	神奈川県	神奈川県 横須賀市	https://tabelog.com/kanagawa/A1406/A140601/14052229/	14052229	https://award.tabelog.com/hyakumeiten/bread_east/2020	100
HYK2020-0106	bread_east	パン	EAST	6	テトラ コンタ	愛知県	愛知県 尼ケ坂駅	https://tabelog.com/aichi/A2301/A230104/23037293/	23037293	https://award.tabelog.com/hyakumeiten/bread_east/2020	100
HYK2020-0107	bread_east	パン	EAST	7	オンザディッシュ	神奈川県	神奈川県 山手駅	https://tabelog.com/kanagawa/A1401/A140106/14041169/	14041169	https://award.tabelog.com/hyakumeiten/bread_east/2020	100
HYK2020-0108	bread_east	パン	EAST	8	ブーランジェリー　ジン	北海道	北海道 虻田郡真狩村	https://tabelog.com/hokkaido/A0106/A010603/1004625/	1004625	https://award.tabelog.com/hyakumeiten/bread_east/2020	100
HYK2020-0109	bread_east	パン	EAST	9	渡邊ベーカリー	神奈川県	神奈川県 宮ノ下駅	https://tabelog.com/kanagawa/A1410/A141001/14003548/	14003548	https://award.tabelog.com/hyakumeiten/bread_east/2020	100
HYK2020-0110	bread_east	パン	EAST	10	ブーランジェリー パティスリー トレトゥール アダチ	神奈川県	神奈川県 センター南駅	https://tabelog.com/kanagawa/A1401/A140203/14070721/	14070721	https://award.tabelog.com/hyakumeiten/bread_east/2020	100
HYK2020-0111	bread_east	パン	EAST	11	ブーランジェリー メチエ パークシティ武蔵小杉ザ・ガーデン	神奈川県	神奈川県 武蔵小杉駅	https://tabelog.com/kanagawa/A1405/A140504/14071269/	14071269	https://award.tabelog.com/hyakumeiten/bread_east/2020	100
HYK2020-0112	bread_east	パン	EAST	12	パンの店　ポルカ	愛知県	愛知県 尾張旭市	https://tabelog.com/aichi/A2303/A230302/23008648/	23008648	https://award.tabelog.com/hyakumeiten/bread_east/2020	100
HYK2020-0113	bread_east	パン	EAST	13	ル・プレジール・デュ・パン 東山本店	愛知県	愛知県 東山公園駅	https://tabelog.com/aichi/A2301/A230107/23039677/	23039677	https://award.tabelog.com/hyakumeiten/bread_east/2020	100
